GeneSymbol	Neutrophils	Fibroblasts	Melanoma	Macrophage	Keratinocytes	CD4_T	CD8_T	Endothelial
ADAM5	0	NA	210.254313687757	261.498434515208	101.40535473873	0	NA	0
ADAM6	0	201.698456786637	NA	0	NA	NA	0	0
ADAM7	NA	NA	0	NA	NA	262.774205910071	NA	0
ADAM8	0	NA	NA	NA	341.636583250036	0	0	NA
ADAM9	NA	2443.12108218726	1	1	2481.04169679027	1	NA	1
ADAMDEC1	0	113.73054340308	NA	244.059242885862	86.3790989960272	629.452347434378	NA	0
ADAMTS1	0	NA	NA	NA	1571.42085725878	0	NA	0
ADAMTS10	NA	NA	1734.75497111785	2145.84956066394	630.751862118414	NA	NA	NA
ADAMTS12	NA	210.416665350298	NA	NA	265.002823467512	1	1	NA
ADAMTS13	0	NA	NA	0	150.688835631112	NA	NA	0
ADAMTS14	0	267.611137355366	NA	NA	NA	1519.69873476937	NA	NA
ADAMTS15	NA	NA	NA	NA	NA	NA	0	NA
ADAMTS16	NA	NA	150.593902273111	0	NA	NA	0	0
ADAMTS17	0	NA	NA	0	254.92399028494	0	NA	0
ADAMTS18	0	NA	243.872301796832	NA	73.4060319104481	NA	NA	0
ADAMTS19	0	NA	NA	NA	NA	0	NA	0
ADAMTS2	1	1624.26010149117	1	1	1206.43970668407	NA	NA	NA
ADAMTS20	NA	NA	NA	NA	NA	814.49505505805	0	0
ADAMTS3	NA	NA	NA	358.646472175642	112.313105266571	NA	NA	0
ADAMTS4	0	242.480137233422	235.593532938811	NA	NA	NA	NA	NA
ADAMTS5	NA	4522.00562190369	NA	NA	NA	0	0	NA
ADAMTS6	0	0	NA	NA	50.8457659527668	0	7454.89046390191	NA
ADAMTS7	0	76.4524545688651	139.364063696921	245.793725126264	52.289915190327	0	NA	0
ADAMTS8	0	117.864143803428	335.380368207476	NA	NA	NA	NA	0
ADAMTS9	NA	NA	NA	0	257.857935467876	NA	NA	0
ADAMTS9.AS2	NA	455.160417340365	NA	1554.97431169173	274.33868718842	NA	NA	NA
ADAMTSL1	NA	NA	3903.96060228259	NA	516.498837692284	0	NA	0
ADAMTSL2	0	NA	17.9243499650719	0	8.68607041317366	125.104805226875	0	0
ADAMTSL3	0	352.438985553005	NA	331.862838660609	132.454975957295	NA	NA	NA
ADAMTSL4	NA	NA	NA	NA	432.048330771169	NA	NA	NA
ADAMTSL5	NA	NA	NA	37.5660588081418	17.527132858321	NA	NA	NA
ADAP1	NA	1585.39042911284	0	NA	NA	NA	48124.9769386071	0
ADAP2	NA	3503.47022683969	NA	5421.0759824666	NA	8903.22109766392	0	0
ADAR	0	11310.3485863707	NA	NA	2281.76426271525	0	NA	NA
